Random,,Degree,,PageRank,,Greedy++,,Greedy,
X,Y,X,Y,X,Y,X,Y,X,Y
-0.07471264367816133,31.40229885057306,-0.0421455938697326,7.35632183908092,-0.0421455938697326,7.35632183908092,-0.07471264367816133,31.40229885057306,-0.0421455938697326,31.3563218390791
0.9348659003831417,29.9770114942512,0.9674329501915704,1565.931034482759,0.9348659003831417,1637.9770114942512,0.902298850574712,1710.022988505747,0.902298850574712,1758.022988505747
1.9444444444444438,4.55172413793116,1.9770114942528734,3004.5057471264354,1.9444444444444438,3004.5517241379293,1.911877394636016,3052.5977011494233,1.8467432950191567,3076.689655172415
2.921455938697318,27.17241379310144,2.954022988505746,4107.126436781609,2.921455938697318,4083.1724137931033,2.8888888888888884,4131.218390804597,2.856321839080459,4131.264367816091
3.9961685823754793,97.65517241379348,3.9961685823754793,4849.6551724137935,3.963601532567048,4825.7011494252865,3.9961685823754793,4945.6551724137935,3.93103448275862,4969.747126436781
5.005747126436781,120.2298850574698,5.038314176245209,5472.183908045978,4.908045977011493,5616.367816091954,4.908045977011493,5640.367816091954,4.842911877394635,5640.459770114943
5.982758620689654,118.8505747126419,5.950191570881224,6166.896551724138,5.950191570881224,6190.896551724138,5.885057471264367,6214.9885057471265,5.852490421455939,6239.0344827586205
6.959770114942528,117.471264367814,6.992337164750958,6477.425287356322,6.9272030651341,6669.51724137931,6.959770114942528,6621.471264367816,6.894636015325669,6693.563218390805
7.936781609195402,116.09195402298792,8.001915708812263,6788.000000000001,7.936781609195402,6788.091954022989,7.904214559386973,7028.137931034484,7.904214559386973,7076.137931034484
8.978927203065133,114.6206896551721,9.011494252873561,7122.574712643679,8.946360153256705,7122.666666666667,8.946360153256705,7338.666666666667,8.913793103448274,7458.712643678162
9.955938697318008,113.2413793103442,10.021072796934867,7337.149425287357,9.955938697318008,7385.241379310346,9.92337164750958,7673.287356321839,9.890804597701148,7697.333333333333
10.96551724137931,111.81609195402234,10.998084291187737,7575.770114942529,10.96551724137931,7671.816091954023,10.932950191570882,7935.862068965517,10.900383141762454,7983.908045977011
11.975095785440615,134.3908045977023,11.975095785440615,7958.390804597701,11.909961685823756,7790.482758620689,11.942528735632184,8222.436781609196,11.877394636015325,8294.528735632186
12.984674329501914,132.96551724138044,13.017241379310345,8196.919540229886,12.952107279693486,7957.0114942528735,12.919540229885058,8461.057471264368,12.919540229885058,8461.057471264368
13.961685823754788,155.58620689655072,13.961685823754788,8435.586206896553,13.99425287356322,8267.540229885059,13.961685823754788,8723.586206896553,13.92911877394636,8771.632183908046
14.97126436781609,178.16091954023068,14.97126436781609,8626.16091954023,14.97126436781609,8650.16091954023,15.003831417624522,8962.114942528737,14.906130268199234,8986.252873563219
15.980842911877392,176.73563218390882,15.948275862068964,8816.781609195403,15.948275862068964,8768.781609195403,15.948275862068964,9176.781609195403,15.915708812260537,9224.827586206899
16.95785440613027,175.35632183908092,16.990421455938698,8983.310344827587,16.925287356321842,8983.402298850575,16.95785440613027,9415.356321839081,16.892720306513407,9439.448275862069
18,149.88505747126328,18,9149.885057471265,18,9173.885057471265,18.032567049808428,9653.839080459771,17.967432950191572,9653.93103448276
18.977011494252874,148.50574712643538,18.977011494252874,9292.505747126437,18.977011494252874,9316.505747126437,18.977011494252874,9820.505747126437,18.911877394636015,9868.597701149427
19.954022988505745,171.12643678161112,19.986590038314173,9435.080459770115,19.954022988505745,9435.126436781611,19.986590038314173,10035.080459770117,19.954022988505745,10035.126436781611
