Greedy++,,PageRank,,Degree,,Greedy,,Random,
X,Y,X,Y,X,Y,X,Y,X,Y
0.06569343065693367,1.3110339451492337,0.06569343065693367,-2.572461200481939,-0.007299270072993025,-0.6732336475090506,0.023114355231142802,1.2862306002409696,0.08394160583941712,-3.5327049819291005
1.0145985401459843,60.11622138756991,1.0145985401459843,58.17447381475438,1.0145985401459843,60.11622138756991,0.9963503649635026,61.72371435995558,0.9963503649635044,3.4712871754892376
2.0364963503649633,113.13868613138686,2.0364963503649633,122.84742399546451,2,76.22422223797037,2.0304136253041367,118.9603855148464,2.0000000000000018,4.055937448326063
3.0218978102189773,170.02338601091344,3.0218978102189773,137.0136772730492,3.0583941605839406,138.97668485578617,3.0036496350364956,172.92537736517602,3.0036496350364974,7.876833675855551
4.043795620437955,205.57012259939052,3.970802919708028,155.04216568634388,3.9343065693430646,156.9626532492381,3.9464720194647196,218.78203765383978,3.976885644768858,14.916259183142984
5.02919708029197,248.8625894692084,4.992700729927005,206.1228828573453,4.992700729927005,204.18113528452977,4.980535279805352,259.83747903526785,4.980535279805354,18.737155410672244
6.087591240875911,290.25582878605337,6.014598540145984,247.49486216426897,6.014598540145984,243.6113670186379,6.014598540145984,299.27479743934987,6.014598540145986,20.957645335789948
6.963503649635033,321.8340301892141,6.999999999999998,267.4863581603005,6.999999999999998,279.13684359719366,6.987834549878347,338.6766824935629,6.957420924574212,24.74310821345034
8.021897810218977,365.1690170788746,8.021897810218977,270.02338601091344,8.021897810218977,332.1593083410105,8.021897810218977,376.4958779202984,7.991484184914842,30.199844093260367
9.043795620437953,402.6575012401672,9.00729927007299,299.7236198710225,9.00729927007299,336.61682375451767,8.995133819951336,415.8977629745116,8.99513381995134,37.25698627548218
9.992700729927007,440.1034653816172,9.992700729927007,350.7830770321026,9.992700729927007,354.66657217773366,10.02919708029197,445.62634351451584,10.090024330900244,39.51290955046875
11.014598540145984,471.7667068244632,10.978102189781021,384.3668060378428,11.014598540145984,378.56282332931755,10.972019464720193,483.3923889164481,11.002433090024331,43.280655753194765
11.999999999999998,505.35043583020337,11.999999999999998,416.03004748068884,12.072992700729925,390.8298490539295,11.995944849959448,518.5088071559617,12.00608272506083,43.86530602603159
13.021897810218976,533.1301821274183,12.912408759124085,441.8042661753242,13.058394160583939,426.35532563248535,13.009732360097326,547.4165150906699,13.009732360097326,49.304325230907125
14.00729927007299,570.5974062787895,13.970802919708026,477.3722627737225,14.00729927007299,444.3838140457798,13.998175182481754,585.748509830786,14.013381995133821,49.88897550374395
15.02919708029197,598.3771525760045,15.02919708029197,512.9402593721211,15.02919708029197,458.57132733328604,14.961273317112736,609.2329467161157,15.017031630170317,52.09174875392716
16.051094890510946,624.2151513004039,17,582.0494649564168,16.02068126520681,492.80584886495166,16.025750202757507,642.215489885747,16.020681265206818,59.14889093614886
16.963503649635037,655.8146127134859,16.02068126520681,542.9676611626862,16.99391727493917,498.2271513948928,16.98884833738849,671.0936700288978,16.963503649635037,58.07998488177054
17.98540145985401,683.5943590107008,17.98540145985401,607.8662036708951,17.997566909975667,537.6467531240403,17.997566909975667,701.0771738360144,18.02798053527981,61.936314459168784
19.00729927007299,719.1410955991778,19.00729927007299,637.5876975409255,19.001216545012163,565.7394940117638,19.031630170316305,732.4238773533649,19.001216545012163,73.83010889849504
20.065693430656935,737.2333640422365,20.029197080291972,677.0179292750336,20.065693430656935,589.0132993173174,20.0352798053528,760.5166182410885,20.065693430656935,76.06831549854712
