Random,,Degree,,PageRank,,Greedy++,
X,Y,X,Y,X,Y,X,Y
0.08362369337979114,0.6467471719727769,0.08362369337979114,-0.038184334876575576,0.04878048780487898,0.6491336929025238,0.013937282229965042,0.6515202138323275
1.024390243902439,1.952174120567065,1.024390243902439,1.2672426137177695,1.024390243902439,17.70559877810132,1.1289198606271782,20.438165242709204
2.034843205574913,3.2528280273018595,2.034843205574913,23.115841725932,2.069686411149826,19.688797670755605,2.034843205574913,37.499403369767606
3.010452961672473,3.8709369481170484,3.045296167247387,41.53978330389958,2.975609756097561,41.54455634575919,2.975609756097561,52.503460455348204
4.020905923344947,7.226385375399786,4.020905923344947,51.74693332060525,4.020905923344947,52.43186482745455,4.055749128919861,71.60756049830559
5.031358885017421,9.21197078898382,4.996515679442507,54.419836761968384,4.996515679442507,55.104768268817736,4.996515679442507,86.61161758388624
6.041811846689895,12.5674192162665,6.041811846689895,59.142761682019966,6.006968641114981,65.99446327144295,6.041811846689895,100.92358359982819
6.982578397212543,17.98243520595679,6.982578397212543,63.18791465801161,7.017421602787455,76.88415827406811,6.947735191637631,117.29989022003727
7.993031358885015,24.077609660636767,8.027874564459928,67.2259080712139,8.027874564459928,76.81494916710426,8.027874564459928,133.66426423559741
8.968641114982578,25.380650088301365,9.00348432055749,67.84401699202908,9.00348432055749,85.65223617011128,8.968641114982578,147.29845830747942
10.013937282229964,26.6789174741063,10.013937282229964,75.30905446040765,9.979094076655052,89.69500262517306,10.04878048780488,162.97790081619024
10.989547038327526,27.981957901770897,10.989547038327526,77.29702639492155,11.024390243902438,94.41792754522464,11.024390243902438,175.23984535344383
12.034843205574912,28.59529378072648,12.034843205574912,86.12954035606901,12,95.72096797288918,12.034843205574912,190.23912939716487
12.975609756097558,31.270583743019472,13.010452961672474,88.80244379743215,13.010452961672474,103.18600544126775,12.975609756097558,201.81852894849897
13.95121951219512,33.25855567753331,13.986062717770032,90.79041573194604,13.986062717770032,105.85890888263094,13.986062717770032,215.4479499785214
14.996515679442506,35.92668607703695,14.961672473867594,92.77838766645988,14.926829268292682,109.21913035177326,14.961672473867594,228.3948260226243
15.972125435540068,37.91465801155084,16.00696864111498,95.44651806596352,16.00696864111498,122.15884683308681,16.00696864111498,241.33692902486766
16.94773519163763,39.90262994606468,16.982578397212542,112.50298315116231,16.94773519163763,124.83413679537978,16.982578397212542,254.28380506897054
17.958188153310104,41.88821535964877,18.02787456445993,123.3902916328577,17.993031358885016,135.72144527707516,17.993031358885016,264.4885685647464
18.968641114982574,43.87380077323286,19.00348432055749,125.37826356737156,18.898954703832754,139.76898477399655,18.933797909407662,276.7528996229298
19.97909407665505,45.85938618681695,19.97909407665505,128.73609851558408,19.944250871080136,148.601498735144,19.944250871080136,289.0124576392536
